Cleaned_Questions,Cleaned_Answers,Question_Word_Count,Answer_Word_Count,Contains_Mental_Health_Topic
mean mental illness,mental illness health condition disrupt person thought emotion relationship daily functioning associated distress diminished capacity engage ordinary activity daily life mental illness fall along continuum severity fairly mild interfere aspect life certain phobia end spectrum lie serious mental illness result major functional impairment interference daily life include disorder major depression schizophrenia bipolar disorder may require person receives care hospital important know mental illness medical condition nothing person character intelligence willpower diabetes disorder pancreas mental illness medical condition due brain biology similarly one would treat diabetes medication insulin mental illness treatable combination medication social support treatment highly effective percent individual receiving treatment experiencing reduction symptom improved quality life proper treatment possible person mental illness independent successful,3,115,False
mental illness affect,estimated mental illness affect adult america adult serious mental illness mental illness discriminate affect anyone regardless gender age income social status ethnicity religion sexual orientation background although mental illness affect anyone certain condition may common different population instance eating disorder tend occur often female disorder attention deficithyperactivity disorder prevalent child additionally age susceptible young old especially vulnerable mental illness usually strike individual prime life percent mental health condition developing age make identification treatment mental disorder particularly difficult normal personality behavioral change adolescence may mask symptom mental health condition parent caretaker aware fact take notice change child mood personality personal habit social withdrawal occur child referred serious emotional disturbance seds,3,109,False
cause mental illness,estimated mental illness affect adult america adult serious mental illness mental illness discriminate affect anyone regardless gender age income social status ethnicity religion sexual orientation background although mental illness affect anyone certain condition may common different population instance eating disorder tend occur often female disorder attention deficithyperactivity disorder prevalent child additionally age susceptible young old especially vulnerable mental illness usually strike individual prime life percent mental health condition developing age make identification treatment mental disorder particularly difficult normal personality behavioral change adolescence may mask symptom mental health condition parent caretaker aware fact take notice change child mood personality personal habit social withdrawal occur child referred serious emotional disturbance seds,3,109,False
warning sign mental illness,symptom mental health disorder vary depending type severity condition following list general symptom may suggest mental health disorder particularly multiple symptom expressed adult confused thinking longlasting sadness irritability extreme high low mood excessive fear worrying anxiety social withdrawal dramatic change eating sleeping habit strong feeling anger delusion hallucination seeing hearing thing really increasing inability cope daily problem activity thought suicide denial obvious problem many unexplained physical problem abuse drug andor alcohol older child preteen abuse drug andor alcohol inability cope daily problem activity change sleeping andor eating habit excessive complaint physical problem defying authority skipping school stealing damaging property intense fear gaining weight longlasting negative mood often along poor appetite thought death frequent outburst anger younger child change school performance poor grade despite strong effort excessive worrying anxiety hyperactivity persistent nightmare persistent disobedience andor aggressive behavior frequent temper tantrum,4,139,False
people mental illness recover,healing mental illness early identification treatment vital importance based nature illness range effective treatment available type treatment essential person affected proactive fully engaged recovery process many people mental illness diagnosed treated respond well although might experience return symptom even case careful monitoring management disorder still quite possible live fulfilled productive life,4,51,False
know someone appears symptom mental disorder,although website cannot substitute professional advice encourage symptom talk friend family member seek counsel mental health professional sooner mental health condition identified treated sooner get path recovery know someone problem dont assume issue resolve let know care treatment option available help heal speak mental health professional counselor think friend family member experiencing symptom mental health condition affected loved one know support likely seek help,6,64,False
find mental health professional child,feeling comfortable professional child working critical success treatment finding professional best fit need may require research start searching provider area,5,20,False
treatment option available,different type medication physical illness different treatment option available individual mental illness treatment work differently different people important find work best child,3,22,False
become involved treatment need know,since beginning treatment big step individual family overwhelming important involved engaged treatment process possible question need answered include known cause particular illness diagnosis symptom common normally include physical neurological examination additional test exam would recommend point would advise independent opinion another psychiatrist point program treatment helpful diagnosis program involve service specialist responsible coordinating service see family role program treatment much access family individual providing treatment medication generally used diagnosis much experience treating individual illness help treatment,5,76,False
difference mental health professional,many type mental health professional variety provider service may confusing various level education training may different area expertise finding professional best fit need may require research,4,26,False
find mental health professional right child,feeling comfortable professional child working critical success treatment finding professional best fit need may require research,6,16,False
become involved treatment need know,beginning treatment big step individual family overwhelming important continue involvement treatment process much possible question need answered include known cause particular illness diagnosis symptom common normally include physical neurological examination additional test exam would recommend point would advise independent opinion another psychiatrist point program treatment helpful diagnosis program involve service specialist responsible coordinating service see family role program treatment much access family individual providing treatment medication generally used diagnosis biological effect medication expect accomplish risk associated medication soon able tell medication effective know much experience treating individual illness help treatment,5,90,False
else get help,go help depend nature problem andor symptom best fit often best place start talking someone trust concern family member friend clergy healthcare provider professional social support essential healing mental illness able ask referral recommendation trusted mental health practitioner search mental health resource area secondly people place throughout nebraska provide service talk listen help journey recovery thirdly many people find peer support helpful tool aid recovery variety organization offer support group consumer family member friend support group peer led others may led mental health professional,3,84,False
know starting new medication,best source information regarding medication physician prescribing able answer question medication supposed begin take effect know effective medication taken long food drink medicine activity avoided taking medication side effect done occur dose missed written information available medication medication might appropriate prefer one chosen monitor medication symptom indicate raised lowered changed medication taken directed medication mental illness work taken irregularly extra dos cause severe sometimes dangerous side effect many psychiatric medication begin beneficial effect taken several week,4,76,True
feel better taking medication mean cured stop taking,uncommon people stop taking medication feel symptom control others may choose stop taking medication side effect without realizing side effect effectively managed may seem reasonable stop taking medication problem often symptom return child taking medication important work together doctor making decision change treatmentnanother problem stopping medication particularly stopping abruptly may develop withdrawal symptom unpleasant doctor feel trial medicine good idea necessary slowly decrease dosage medication symptom dont occurnit important doctor pharmacist work together make sure medication working safely effectively talk side effect make unwilling continue treatment work develop strategy minimizing side effect create plan switching different treatment better fit,8,99,True
get help paying medication,pharmaceutical company offer prescription assistance program individual family financial need others offer special drug discount card program typically require doctor consent proof financial status may also require either health insurance prescription drug benefit health insurancenin addition prescription program might qualify visit healthfindergov learn,4,43,True
go find therapy,different kind therapy effective based nature mental health condition andor symptom person example child benefit therapist specializes childrens mental health however several different type treatment therapy help,3,27,True
learn type mental health treatment,mental health condition often treated medication therapy combination two however many different type treatment available including complementary alternative treatment selfhelp plan peer support treatment personal discussed person mental health condition team,5,31,False
different type mental health professional,many type mental health professional finding right one may require research,5,11,False
go find support group,many people find peer support helpful tool aid recovery variety organization offer support group consumer family member friend support group peerled others may led mental health professional,4,27,True
go find inpatient care,someone know crisis inpatient care help inpatient care help people stabilize new medication adjust new symptom get help need,4,19,False
go find local service,likely plenty resource used help find mental health treatment community resource help find right therapist enable better understand viable treatment option treatment process,4,23,False
learn information clinical trial,sometimes consumer mental health service may consider participating research study experienced improvement despite tried variety medication treatment research study also known clinical trial may involve use new medication new treatment approach whose safety effectiveness tested support innovation field consumer cautioned risk associated clinical trial make sure youre aware enroll,4,49,False
learn information creating psychiatric advance directive,similar medical advance directive health care power attorney psychiatric advance directive legal document completed time wellness provides instruction regarding treatment service one wish mental health crisis may help influence care,6,30,False
mental health,mental health made belief thought feeling behaviour,2,7,False
support doesnt help,difficult find thing help different thing help different people important open range approach committed finding right help continue hopeful even thing dont work,3,23,True
prevent mental health problem,suffer mental health challenge developing wellbeing resilience seeking help early help prevent challenge becoming serious,4,15,False
cure mental health problem,often realistic helpful find help issue face talking counselling medication friendship exercise good sleep nutrition meaningful occupation help,4,18,False
cause mental health problem,challenge problem mental health arise psychological biological social issue well life event,4,12,False
im worried mental health,important thing talk someone trust might friend colleague family member gp addition talking someone may useful find information experiencing thing may help get perspective experiencing start getting help,4,28,False
know im unwell,belief thought feeling behaviour significant impact ability function might considered normal ordinary way would important seek help,3,17,False
im worried friend relative,may depend relationship gently encouraging someone seek appropriate support would helpful start,4,12,False
deal someone telling,people may advise good evidence work best intention important find work best,3,12,False
need keep informed,may tempting try block world altogether avoid bad news important keep informed step pandemic part play reducing spread virus important know must done important health neighbour mental health taking action help counter difficult feeling like hopelessness despair one study people china found people reliable uptodate information coronavirus covid illness accurate instruction act instruction around handwashing wearing mask felt resilient felt better able handle virus people received good accurate information reported lower level stress anxiety depression research available free wwwmdpicom course okay set limit staying informed mean follow news day check time day sticking trusted source medium outlet social medium great way keep touch family friend social medium also amplify bad advice vague untrue story unhelpful information sure use good critical thinking skill,3,122,False
tell health information good bad,anyone post anything online reader think critically information decide seems helpful truthful safe key point keep mind determine information worth considering information doesnt pas test easy spread information online cant assume source reading watching original source evaluate anything need know claim come determine reliable source reliable source coronavirus covid illness include world health organization government canada ministry agency like health canada public health agency canada government bc ministry agency like bc ministry health bc centre disease control bccdc scientist researcher university institution health science professional also important source information headline title need simple short sometimes misleading may also purposefully shocking controversial entice click read website belong government governmentfunded agency wellknown health provider university group medical professional generally reliable careful site dont list author dont tell much doublecheck author credential expert quoted cited see actually expert topic discussed find evidence source support claim author list source source legitimate like research journal unhelpful source want feel certain way scared angry distrustful vulnerable phrase like skyrocketing rate infection sensational theyre meant make people feel afraid hand factual statement like new case bc give important information without playing emotion helpful news information source want feel informed empowered paying site product service advertised link site promote learning something story experience simply directed buy product service social medium great way keep touch family friend especially practice physical distancing selfisolation social medium also important way learn health expert connect support service mutual aid group community like source information important use good critical thinking skill use social medium study find searching health information social medium generally mixed result youll see poorquality source next goodquality source decide addition social medium post tend short rarely capture everything need consider generally useful way start learning exploring different point view rather place gather information visit wwwmediasmartsca learn digital medium literacy visit wwwhealthnewsrevieworg learn thinking critically around health claim resource longer updated daily toolkits lesson still available page adapted evaluating mental health substance use information info sheet,5,324,False
need plan,lot thing cant control cant control happens next government respond neighbour react pandemic make plan decide youll manage thing control like ability stay safe follow public health measure stay connected loved one take care mental physical health event like pandemic change lot time uncertainty add fear stress truth dont know happen nextbut doesnt mean helpless lot map daily schedule including time connect loved one online phone plan daily task goal give schedule look current information make sure day healthy food household supply home keep medication hand talk doctor advice youre increased risk educate public health measure figure youll follow instruction figure youll manage increased childcare demand working home change usual routine determine youll need financial support like canada emergency response benefit bc temporary rent supplement job affected covid anticipate need find application instruction gather document piece information ahead time figure youll manage time feel overwhelmed hopeless like calming activity number local support crisis line video chat loved one way connect mental health care provider look local support organization neighbourhood group mutual aid group need extra help support would like help others community planning straightforward may also encounter situation time harder see solution good plan action great time practice problemsolving skill problemsolving method help break complicated situation manageable piece look realistic unbiased information brainstorm possible solution test solution think might work well problemsolving helpful skill matter else going world empowering methodical approach might otherwise feel overwhelmed lost check following resource information problemsolving wellness module problemsolving wwwheretohelpbccawellnessmodulewellnessmoduleproblemsolving problemsolving worksheet anxiety canada wwwanxietycanadacomsitesdefaultfilesproblemsolvingpdf effective problemsolving antidepressant skill workbook psychhealthandsafetyorgasw,2,256,False
maintain social connection feel lonely,lot people alone right dont lonely together may physically separated friend family member loved one never important maintain social connection social connection opportunity seek share support talk difficult feeling share laugh keep uptodate loved one help cope pandemic lot one person deal measure like physical distancing selfisolation necessary slow spread virus physical separation amplify lot challenging emotion like loneliness fear think different way connect meaningful example might prefer video chat phone call might prefer text throughout day rather one set time video call work social network make plan might video chat close friend evening phone family member week remember mindful people may online check phone ask help quality social connection matter mindlessly scrolling social medium liking post usually doesnt build strong social connection make sure focus strategy actually make feel included connected current strategy dont help feel connected problemsolve see find solution everyone feel lonely timesmaybe recently moved new city changing circle friend lost someone important life lost job also lost important social connection coworkers people may physical connection others may feel like emotional social need arent met measure like social distancing selfisolation make loneliness feel worse matter feel lonely reach connection suggest way keep touch see set regular time connect people may hesitate reach lot different reason dont afraid one asks look local community support group mutual aid group social medium pandemic bringing everyone together look opportunity make new connection group great way share skill ability seek help support look specialized support group support group moving online lot different support line call need talk someone find community service bc call text visit wwwbcca need extra support talk psychologist counsellor free access free phone call registered psychologist though covid psychological support service bc psychological association visit wwwpsychologistsbccacovidresources access free phonebased shortterm support counsellor new group called bc covid mental health network email bccovidtherapistsgmailcom receive appointment time youth people age talk counsellor free foundry virtual visit foundrybccagetsupportvirtual call bc mental health support line available chat online crisis center volunteer wwwcrisiscentrechatca daily noon older adult call senior distress line youth young adult chat online volunteer wwwyouthinbccom daily noon child youth call kid help phone visit kidshelpphoneca tip managing loneliness check following resource coping loneliness canadian mental health association cmhabccadocumentscopingwithloneliness loneliness social connection issue vision journal wwwheretohelpbccavisionslonelinessandsocialconnectionvol wellness module social support wwwheretohelpbccawellnessmodulewellnessmodulesocialsupport,5,379,False
