Cleaned_Context,Cleaned_Response,Context_Word_Count,Response_Word_Count,Contains_Therapy_Method
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,everyone think youre worthless maybe need find new people hang withseriously social context person life big influence selfesteemotherwise go round round trying understand youre worthless go back crowd knocked againthere many inspirational message find social medium maybe read one state person worthless everyone good purpose lifealso since culture saturated belief someone doesnt feel good somehow terriblebad feeling part living motivation remove situation relationship u harm goodbad feeling feel terrible feeling worthlessness may good sense motivating find much better feeling today,28,80,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,hello thank question seeking advice feeling worthlessness unfortunately common fact people felt degree point life alone changing feeling like changing thought hard mind amazing minute change thought another one right take place without permission another thought pop new thought may feel worse last one guess tried several thing improve even reaching people often try thinking positive thought debating thought simply telling need snap also thought carry selfcriticism people try different approach counselor help idea instead trying change thought change respond learn skill allow manage difficult thought feeling differently dont impact right people actually begin experience less hurtful thought learn manage one differently acceptance commitment therapy may good choice information online even selfhelp book use teach skill mentioned skill require practice many people found great relief enriched life learning suicidal thought glad read happened still watch sign worsening depression begin think important reach support system right away national suicide prevention lifeline text line hope colleague provide suggestion wellrobin landwehr dbh lpcc,28,160,True
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,first thing id suggest getting sleep need impact think feel id look finding going well life grateful believe everyone talent want find purpose life think figure help,28,27,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,therapy essential feeling depressed worthless work experiencing concern related feeling depression issue self esteem generally work client help build coping skill reduce level depression assist strengthening self esteem guiding client cbt practice cbt help gaining better awareness thought process influence belief system belief impact action outcome behavior process isnt easy help teach individual dont always control happens life control interpret feel behave cbt good individual dealing depression anxiety toxic relationship stress self esteem codependency etc,28,75,True
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,first want let know alone feeling always someone help always change feeling change way thinking open trying change always make available learning new thing volunteering make purpose,28,27,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,heck sure thing hunfeelings depression deeplyrooted base physical structure may functioning well present certainly turn using mean able find around house relative ease emotional spiritual support liberally applied,28,28,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,exhibiting specific trait particular temperament type seek counselor provides ncca temperament therapy discover joy god love,28,16,True
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,intense depression liar sometimes depression place glass eye dark sunglass change see thing depression tell u thing like youre worthless one like dont worry anything easy u listen tricked thinking feel something mean true please know even feeling worthless right doesnt mean worthlessthe first step working recognizing going recognizing depression telling story ie worthless different word ie worthless worthless making effort talk back give diagnosis depression reading going sound like might need help get back track seeing counselor open entirely new option wherein someone involved life help without judgement objective perspective wonder unwrapping kind thought wishing absolute best,28,98,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,sound like may putting last wrote want fix issue never get around wonder spending mental physical energy spending time taking care others also wonder thought feeling worthless coming around people treat poorly hurtful feel worry arent really sure others feel may helpful talk someone feeling counselor perhaps clarify feeling move forward se hurting,28,53,False
im going thing feeling barely sleep nothing think im worthless shouldnt ive never tried contemplated suicide ive always wanted fix issue never get around change feeling worthless everyone,must really difficult experience going right take lot courage reach sound like want get better perhaps need help get hump many symptom described consistent person dealing depression depression treatable condition typically symptom persisted two week good idea seek professional help someone trained dealing depression initially comprehensive assessment would completed rule cause symptom determine exact nature presenting concern collaboration one another tailored treatment plan would developed focusing best help reach goal good news hope getting better dont alone allow ally healing,28,80,False
