Questions,Answers,Cleaned_Questions,Cleaned_Answers
What does it mean to have a mental illness?,"Mental illnesses are health conditions that disrupt a personâ€™s thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life.
Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital.
It is important to know that mental illnesses are medical conditions that have nothing to do with a personâ€™s character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brainâ€™s biology.
Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful.",mean mental illness,mental illness health condition disrupt person thought emotion relationship daily functioning associated distress diminished capacity engage ordinary activity daily life mental illness fall along continuum severity fairly mild interfere aspect life certain phobia end spectrum lie serious mental illness result major functional impairment interference daily life include disorder major depression schizophrenia bipolar disorder may require person receives care hospital important know mental illness medical condition nothing person character intelligence willpower diabetes disorder pancreas mental illness medical condition due brain biology similarly one would treat diabetes medication insulin mental illness treatable combination medication social support treatment highly effective percent individual receiving treatment experiencing reduction symptom improved quality life proper treatment possible person mental illness independent successful
Who does mental illness affect?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background.
Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children.
Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition.
Parents and caretakers should be aware of this fact, and take notice of changes in their childâ€™s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",mental illness affect,estimated mental illness affect adult america adult serious mental illness mental illness discriminate affect anyone regardless gender age income social status ethnicity religion sexual orientation background although mental illness affect anyone certain condition may common different population instance eating disorder tend occur often female disorder attention deficithyperactivity disorder prevalent child additionally age susceptible young old especially vulnerable mental illness usually strike individual prime life percent mental health condition developing age make identification treatment mental disorder particularly difficult normal personality behavioral change adolescence may mask symptom mental health condition parent caretaker aware fact take notice change child mood personality personal habit social withdrawal occur child referred serious emotional disturbance seds
What causes mental illness?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child’s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",cause mental illness,estimated mental illness affect adult america adult serious mental illness mental illness discriminate affect anyone regardless gender age income social status ethnicity religion sexual orientation background although mental illness affect anyone certain condition may common different population instance eating disorder tend occur often female disorder attention deficithyperactivity disorder prevalent child additionally age susceptible young old especially vulnerable mental illness usually strike individual prime life percent mental health condition developing age make identification treatment mental disorder particularly difficult normal personality behavioral change adolescence may mask symptom mental health condition parent caretaker aware fact take notice change child mood personality personal habit social withdrawal occur child referred serious emotional disturbance seds
What are some of the warning signs of mental illness?,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once.
In adults:
Confused thinking
Long-lasting sadness or irritability
Extreme highs and lows in mood
Excessive fear, worrying, or anxiety
Social withdrawal
Dramatic changes in eating or sleeping habits
Strong feelings of anger
Delusions or hallucinations (seeing or hearing things that are not really there)
Increasing inability to cope with daily problems and activities
Thoughts of suicide
Denial of obvious problems
Many unexplained physical problems
Abuse of drugs and/or alcohol
  In older children and pre-teens:
Abuse of drugs and/or alcohol
Inability to cope with daily problems and activities
Changes in sleeping and/or eating habits
Excessive complaints of physical problems
Defying authority, skipping school, stealing, or damaging property
Intense fear of gaining weight
Long-lasting negative mood, often along with poor appetite and thoughts of death
Frequent outbursts of anger
  In younger children:
Changes in school performance
Poor grades despite strong efforts
Excessive worrying or anxiety
Hyperactivity
Persistent nightmares
Persistent disobedience and/or aggressive behavior
Frequent temper tantrums",warning sign mental illness,symptom mental health disorder vary depending type severity condition following list general symptom may suggest mental health disorder particularly multiple symptom expressed adult confused thinking longlasting sadness irritability extreme high low mood excessive fear worrying anxiety social withdrawal dramatic change eating sleeping habit strong feeling anger delusion hallucination seeing hearing thing really increasing inability cope daily problem activity thought suicide denial obvious problem many unexplained physical problem abuse drug andor alcohol older child preteen abuse drug andor alcohol inability cope daily problem activity change sleeping andor eating habit excessive complaint physical problem defying authority skipping school stealing damaging property intense fear gaining weight longlasting negative mood often along poor appetite thought death frequent outburst anger younger child change school performance poor grade despite strong effort excessive worrying anxiety hyperactivity persistent nightmare persistent disobedience andor aggressive behavior frequent temper tantrum
Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process.
Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.",people mental illness recover,healing mental illness early identification treatment vital importance based nature illness range effective treatment available type treatment essential person affected proactive fully engaged recovery process many people mental illness diagnosed treated respond well although might experience return symptom even case careful monitoring management disorder still quite possible live fulfilled productive life
What should I do if I know someone who appears to have the symptoms of a mental disorder?,"Although this website cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery.
If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.",know someone appears symptom mental disorder,although website cannot substitute professional advice encourage symptom talk friend family member seek counsel mental health professional sooner mental health condition identified treated sooner get path recovery know someone problem dont assume issue resolve let know care treatment option available help heal speak mental health professional counselor think friend family member experiencing symptom mental health condition affected loved one know support likely seek help
How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.,find mental health professional child,feeling comfortable professional child working critical success treatment finding professional best fit need may require research start searching provider area
What treatment options are available?,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.",treatment option available,different type medication physical illness different treatment option available individual mental illness treatment work differently different people important find work best child
"If I become involved in treatment, what do I need to know?","Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include:
What is known about the cause of this particular illness?
Are there other diagnoses where these symptoms are common?
Do you normally include a physical or neurological examination?
Are there any additional tests or exams that you would recommend at this point?
Would you advise an independent opinion from another psychiatrist at this point?
What program of treatment is the most helpful with this diagnosis?
Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?
What do you see as the familyâ€™s role in this program of treatment?
How much access will the family have to the individuals who are providing the treatment?
What medications are generally used with this diagnosis?
How much experience do you have in treating individuals with this illness?
What can I do to help you in the treatment?",become involved treatment need know,since beginning treatment big step individual family overwhelming important involved engaged treatment process possible question need answered include known cause particular illness diagnosis symptom common normally include physical neurological examination additional test exam would recommend point would advise independent opinion another psychiatrist point program treatment helpful diagnosis program involve service specialist responsible coordinating service see family role program treatment much access family individual providing treatment medication generally used diagnosis much experience treating individual illness help treatment
What is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",difference mental health professional,many type mental health professional variety provider service may confusing various level education training may different area expertise finding professional best fit need may require research
